id,domain,surface,action,operations,payload,target,transport,n8n_dependency,rule_status,adapter_status,read_after_write,evidence,next
"A01","고객자산","PC·모바일 연락처 폼","연락처·관리사무소·수신동의 저장","contact_upsert","person/site/phones/email/role/consent/optout","contacts + assignments/history","current UI n8n; Staging write storage blocker read-only reconfirmed","YES","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","STAGING_JWT_READBACK_PASS","crm.html:4577,7465; mobile.html:2299; sql/customer-asset-bundle/20260906/review.md; docs/operational-cutover-20260906/staging-customer-asset-write-preflight-20260906.json; docs/operational-cutover-20260906/staging-go-eight-jwt-results.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t225700z-90c0ffee/cleanup-verification-current.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"A02","고객자산","PC·모바일 관계도","의사결정 역할·관계 톤 저장","contact_relationship","opportunity,person,decision_role,tone","contact-opportunity relationship","current UI n8n; Staging relation/column absence read-only reconfirmed","YES","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","STAGING_JWT_READBACK_PASS","crm.html:7553; mobile.html:2394; sql/customer-asset-bundle/20260906/review.md; docs/operational-cutover-20260906/staging-customer-asset-write-preflight-20260906.json; docs/operational-cutover-20260906/staging-go-eight-jwt-results.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t225700z-90c0ffee/cleanup-verification-current.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"A03","고객자산","PC 연락처","관리소장 근무지 이동","contact_move","person,from/to site,date,reason","contact assignments + movement history","current UI n8n; Staging destination ambiguity read-only reconfirmed","YES","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","STAGING_JWT_READBACK_PASS","crm.html:4614-4619; sql/customer-asset-bundle/20260906/review.md; docs/operational-cutover-20260906/staging-customer-asset-write-preflight-20260906.json; docs/operational-cutover-20260906/staging-go-eight-jwt-results.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t225700z-90c0ffee/cleanup-verification-current.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"A04D","고객자산","Deal 고객자산·Timeline","Deal 직접연결 연락처·근무이력 조회","","deal/contact ids","crm_contacts_scoped_v2 Deal-scoped projection","guarded public read replacement local candidate; Staging canonical preflight pass; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","STAGING_CANONICAL_PREFLIGHT_PASS","crm.html:siteMasterData; mobile.html:historySheetM; sql/customer-asset-bundle/20260906/staging-preflight.json; docs/operational-cutover-20260906/staging-function-canonical-compare.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"A04S","고객자산","현장·고객자산·Timeline","Site 1:N 권한범위 timeline 조회","","site/deal/inquiry/contact ids","authorized child rows grouped by Site in Golden UI","real Staging actor-scoped deal/inquiry rows + A04D contact history","NO","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","AUTHORIZED_CHILDREN_ONLY","crm.html:siteTimeline/openSiteMaster; docs/operational-cutover-20260906/go-read-audit-20260907.json","회귀만 수행; 접근 불가 자식을 Site 전체라는 이유로 추가 노출하지 않음"
"A05","고객자산","PC 데이터 정리","중복 preview·확인·apply","crm_cleanup_state/preview/apply","fingerprint + selected resolution","cleanup private state + canonical links","31-op cutover boundary; maintenance utility excluded","NO","CONFIRMED","OUT_OF_SCOPE_31_OP_BOUNDARY","NO","data-cleanup-ui.js:12,33-34; sql/operational-auxiliary/20260906/review.md; docs/operational-cutover-20260906/staging-auxiliary-entrypoints-20260906.json","일상 CRM 운영이 아닌 데이터 정리 도구로 별도 backlog 유지"
"X01","확장관리","PC 확장 Pool","상태·다음접촉일 갱신","expansion_pool_update","source,status,next; client last/relationship/need/created/time stripped","private expansion Pool version/event + Deal audit/receipt","local candidate after Closed Won; Pipeline conversion remains separate; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:4452-4454; expansion-pool.js; sql/expansion-pool-update/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"X02","확장관리","PC 확장 Pool","접촉·니즈 기록/문맥 조회","crm_expansion_note/context","source,body/context","private expansion note event + Deal audit/receipt; actor-scoped event context; dispatches unavailable","local candidate after X01; quote dispatch evidence and conversion remain blocked; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","expansion-pool.js:21,25; sql/expansion-note-context/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"X03","확장관리","PC 견적 발송 확인","실제 견적 후 새 Opportunity 전환","expansion_quote_convert","source/site/work/owner/quote evidence","dispatch + child deal + lineage","31-op cutover boundary; provider-evidence conversion excluded","NO","CONFIRMED","OUT_OF_SCOPE_31_OP_BOUNDARY","NO","expansion-pool.js:40-52; sql/operational-auxiliary/20260906/review.md","확장 상태·접촉 기록은 검증 완료; provider 발송 증거 기반 자동 전환은 별도 외부연동 backlog"
"T01","첨부/메모","PC·모바일 파일 등록","prepare→signed PUT→complete","attachment_prepare; attachment_complete","deal,file metadata,size/type/tags; server path","private Storage + private attachment metadata + audit/receipt","25-op cumulative candidate; authenticated Storage signer/upload; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_DB_ADAPTER_UI_PASS","crm.html:7592-7601; mobile.html:2416-2426; sql/attachment-compat/20260906; docs/operational-cutover-20260906/attachment-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"T02","첨부/메모","PC·모바일 Gallery","ready 첨부 목록 표시","","deal id","ready-only safe metadata without object path/URL","25-op cumulative candidate deal_core projection; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_DB_READ_UI_PASS","crm.html:execAttachPanel; mobile.html:openAttachmentGalleryM; sql/attachment-compat/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"T03","개인화","PC·모바일 Deal 상세","즐겨찾기·최근 본/작업","favorite_set; opportunity_touch","opportunity,user_key,favorite/kind/time","private per-actor user opportunity state + receipts","single Dispatcher + scoped read apply-ready local bundle; Staging canonical preflight pass; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","STAGING_CANONICAL_PREFLIGHT_PASS","crm.html:7604-7605; mobile.html:2431-2432; sql/personal-state-compat/20260906/staging-preflight.json; sql/personal-state-compat/20260906/staging-live-baseline.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"M01O","메시징","PC·모바일 연락처","전화·SMS·카카오 앱 열기","","phone/body/deep-link","OS external app","tel:/sms:/kakao URI","NO","CONFIRMED","EXTERNAL_APP","N/A","crm.html:contactDial/openRelationshipMessage; mobile.html:callContactM/rmLaunchM; docs/operational-cutover-20260906/messaging-contracts.md","외부 앱 open을 통화·발송 성공으로 기록하지 않음"
"M01A","메시징","PC·모바일 연락처","전화 앱 열기 전 시도 Activity","activity","opportunity,type,note,occurred_at,meaningful_contact=false","activities + Deal activity timestamp","current UI n8n; pipeline action local chain candidate","YES","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:contactDial/contactActivity; mobile.html:callContactM; sql/pipeline-action-bundle/20260906; docs/operational-cutover-20260906/messaging-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"M02","메시징","PC·모바일 발송 확인","발송·실패·취소 결과 기록","message_log","Deal UUID/version, person key, channel/template/body/status, optional quote/ready attachment, optional next action; client actor/phone/site/stage/time stripped","private user-attested message outcome + sent non-meaningful Activity + optional replacement Next Action + audit/receipt","local cumulative DB/UI candidate after O02+C04; external app launch remains non-evidence; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7968; mobile.html:2567-2578; sql/message-log-compat/20260906; docs/operational-cutover-20260906/messaging-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"M03","메시징","PC·모바일 composer","문구 복사","","body","Clipboard","Clipboard API","NO","CONFIRMED","EXTERNAL_APP","N/A","crm.html:relationshipCopy; mobile.html:rmCopyM; docs/operational-cutover-20260906/messaging-contracts.md","sent로 기록하지 않음"
"M04","메시징","PC·모바일 composer","담당자 발송 알림 예약","next_action/message_reminder","scheduled/channel/template/draft","Next Action + private reminder + non-meaningful Activity + Deal audit/receipt","local candidate after X02; never provider auto-send; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7517; mobile.html:2336; sql/message-reminder/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"M05","메시징","PC·모바일 관계관리","접촉 보류·회신 cadence 초기화","relationship_hold; relationship_response","hold date/reason + absorbed Next; response kind + absorbed meaningful Activity; client actor stripped","private relationship event + Deal wake/version + targeted message response/linked Next cancellation + audit/receipt","named PC/mobile wrappers + private RLS event ledger + M02 outcome correlation + scoped read + rollback; local DB/UI 11 PASS","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7675,7695; mobile.html:2502,2515; sql/relationship-cadence-compat/20260906; docs/operational-cutover-20260906/messaging-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"M06","메시징","PC 문자발송 메뉴","다중 대상 즉시·예약 대기열","campaign_create","campaign/template/body/schedule/recipients","campaign queue + provider callbacks","approved retained n8n/provider boundary; outside Supabase 31-op cutover","YES","CONFIRMED","OUT_OF_SCOPE_31_OP_BOUNDARY","NO","crm.html:8045-8046; docs/operational-cutover-20260906/messaging-contracts.md; docs/operational-cutover-20260906/n8n-allowed-boundary.md","문자 provider는 승인된 n8n 유지 경계이며 본문·운영 endpoint를 이번 Staging 전환에서 변경하지 않음"
"O01","관리","PC 영업사원 관리","주간 코멘트·완료 상태","rep_manager_comment","rep,week,comment,status; client actor/time stripped","weekly mutable comment snapshot + append-only audit","current UI n8n; UUID team eligibility unavailable","YES","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","STAGING_JWT_READBACK_PASS","crm.html:3827-3846; sql/20260905_sales_rep_management.sql; sql/customer-support-action/20260906/review.md; docs/operational-cutover-20260906/staging-go-eight-jwt-results.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t225700z-90c0ffee/cleanup-verification-current.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"O02","관리","PC 고객지원 카드","지원 요청 기록","customer_support_action","target UUID,client_ref,action key/label,reason,completion rule; client actor/time/status/rep/site stripped","private append-only requested support ledger + common receipt + admin-scoped read","local candidate after P09M; downstream Activity/Next remains independent; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:3848-3872; sql/20260905_customer_support_actions.sql; sql/customer-support-action/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"O03","관리","PC 대시보드","연간 목표 변경","","year,goal","browser setting","Golden localStorage preference; no n8n dependency","YES","CONFIRMED","LOCAL_ONLY_CONFIRMED","LOCAL_ONLY","crm.html:setYearGoal; sql/operational-auxiliary/20260906/review.md; docs/operational-cutover-20260906/staging-dashboard-state-preflight-20260906.json","현행 Golden 브라우저 설정으로 유지; 서버 조직목표 신규 설계는 범위 밖"
"O04","관리","PC 관리자 Export","범위 제한 JSON export","crm_export_create","date range,columns,MFA context","private export job/audit","31-op cutover boundary; administrative export excluded","NO","CONFIRMED","OUT_OF_SCOPE_31_OP_BOUNDARY","NO","crm-export.js:16,38; sql/operational-auxiliary/20260906/review.md; docs/operational-cutover-20260906/staging-auxiliary-entrypoints-20260906.json","일상 CRM 핵심 경로가 아닌 관리자 Export로 별도 backlog 유지"
"O05","관리","모바일 설정·보고·채널 버튼","알림/휴가위임/채널발송/PDF/병합 요청","","UI values","memory/toast only","no transport","NO","NEEDS_VERIFICATION","REACHABLE_MOCK_BLOCKER","NO","mobile.html:2149-2230; sql/operational-auxiliary/20260906/review.md","각 버튼을 실제 구현하거나 UI에서 명확히 미지원으로 승인"
"O06","관리","PC 문의 일괄","잔디 쪼기","","selected inquiries","notice only","no transport","NO","NEEDS_VERIFICATION","REACHABLE_MOCK_BLOCKER","NO","crm.html:6355-6411; sql/operational-auxiliary/20260906/review.md","provider/channel·동의·수신자·receipt 규칙 확정 후 메시징 편입"
"O07S","조회/분석","PC Dashboard","권한 범위 Deal·문의 원천행 조회","","domain/cursor/limit","authorized deal/inquiry core rows","new authenticated domain-paged public source local chain candidate after T03; existing scoped read unchanged","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:towerBase/dashboardSnapshotDeals; sql/operational-read-source/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"O07D","조회/분석","PC Dashboard","KPI·드릴다운","","period/brand/owner/stage","actor-scoped deal/inquiry rows → Golden role dashboard aggregates + admin Pipeline drilldown","real Staging Auth + crm_operational_source_v1 browser verified for six synthetic roles; not Production deployed","NO","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","BROWSER_ROLE_DASHBOARD_AND_ADMIN_DRILLDOWN_PASS","crm.html:paintTower,paintTowerMoney,paintTowerMine,towerDrill; docs/operational-cutover-20260906/operational-dashboard-browser.json","Production 배포 전 동일 assembled UI 회귀만 필요"
"O07P","조회/분석","PC Performance","담당자 실적 점수·상세","","period/rep","actor-scoped performance inputs","real Staging source includes stage/action/inquiry lineage and Golden target preference","NO","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","ACTOR_SCOPE_COMPLETE","crm.html:paintPerformance; docs/operational-cutover-20260906/go-read-audit-20260907.json","회귀만 수행; 목표는 기존 Golden 브라우저 설정을 유지"
"O07R","조회/분석","PC Executive Report","전월·전년·분기·담당자 보고","","period/brand/owner","authorized aggregates + source rows","real Staging source includes quote/won/period/owner fields; scope stays server-authorized","NO","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","ACTOR_SCOPE_COMPLETE","crm.html:paintReportV2; docs/operational-cutover-20260906/go-read-audit-20260907.json","회귀만 수행; 화면의 전체는 현재 사용자 권한 범위 전체를 뜻함"
"O07G","조회/분석","PC 경남","지사 인계·응대·영업 KPI","","period/branch/owner","authorized branch inquiry/deal rows","real Staging inquiry assignee_permission_role + scoped Deal fields; Golden branch roster retained","NO","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","ACTOR_SCOPE_COMPLETE","crm.html:paintGyeongnam; docs/operational-cutover-20260906/go-read-audit-20260907.json","read 회귀만 수행; branch_handoff/branch_owner_assign 쓰기는 별도 UUID gate 유지"
"O08M","조회/분석","모바일 내 건","담당 Deal 목록·상세 이동","","domain/cursor/limit","authorized owned/scoped deal core rows","new authenticated domain-paged public source local chain candidate after T03; existing scoped read unchanged","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","mobile.html:rMine; sql/operational-read-source/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"O08T","조회/분석","모바일 Today","권한 범위 목록·Deal Next 완료·문의 세 응대결과·문의 연기","next_action_complete; inquiry_assign/response_*; inquiry_followup","actor-scoped Deal/inquiry rows + server Next UUID + response/followup timestamps","deal/inquiry/next/response signals","operational source + next complete + three inquiry response intents + inquiry followup local chain candidate","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","mobile.html:buildToday/rToday/todayCompleteM/pickToday/applyTodayPostponeM; sql/operational-read-source/20260906; sql/pipeline-next-complete/20260906; sql/inquiry-response-progress/20260906; sql/inquiry-followup/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"O08C","조회/분석","모바일 관리","관리 목록·필터·상세 이동","","role/mode/filter","authorized management rows","six-role real Staging browser read PASS; no implicit global expansion","NO","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","ACTOR_SCOPE_COMPLETE","mobile.html:rCtrl; docs/operational-cutover-20260906/operational-full-ui-browser-read.json; docs/operational-cutover-20260906/go-read-audit-20260907.json","회귀만 수행; 관리 목록도 서버가 허용한 범위만 표시"
"O08S","조회/분석","모바일 검색","내 권한 현장·담당·대표 연락처 검색","","query text","actor-scoped Deal core + directly linked primary contact","operational source local chain now maps persisted site/owner/amount/date/contact into Golden mobile shape; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","mobile.html:rSearch/srchDo; sql/operational-read-source/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"O08A","조회/분석","모바일 CRM에게 물어보기","Today·방문·고액·기술자문·미접촉·견적발송·과거근무지 조건검색","","natural-language query/filter","actor-scoped Deal + linked contacts + quote/activity/history projections","real Staging deal_core fields + A04D contact assignment history are present","NO","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","ACTOR_SCOPE_COMPLETE","mobile.html:crmAskM/askResultHTMLM/crmMonthQuoteM; docs/operational-cutover-20260906/go-read-audit-20260907.json","회귀만 수행; 질문은 read-only 필터이며 권한 밖 결과를 확장하지 않음"
"O09","외부연동","PC·모바일 ASQ 카드","운영 프로젝트 열기","","https URL","external ASQ page","HTTPS external link","NO","CONFIRMED","EXTERNAL_APP","N/A","crm.html:asqOperationHTML; mobile.html:asqCardM","CRM에서는 read-only 유지"
