id,name,read,write,location,v2,status,gap,test
"F64","모바일 방문동선·위치없음 처리","실제 lat/lng + 거리10km","지도/상세 이동; 조회전용","golden/mobile.html:2365 nearbyForM; golden/mobile.html:2366 nearbyHTMLM; golden/crm.html:3244 nearbySites","scoped coordinates read 없음","CONTRACT_MISSING","좌표없을때가짜거리 금지·유효좌표 권한범위 유지","좌표없음/0/10km경계·타담당현장 미노출"
"F65","모바일 내 건·관리·Stage·종료·실적","DEALS/ADMIN + role/mode/state filters","상세·배정·전환 Action","golden/mobile.html:1427 rMine; golden/mobile.html:1829 rCtrl; golden/mobile.html:1851 rPipe; golden/mobile.html:2166 rClosed; golden/mobile.html:1812 rMy","기존 mobile 어댑터 없음","CONTRACT_MISSING","축약 mobile.html은 기존하단탭/Sheet/관리 drilldown과 다름","rep/admin/dual·전체탭·분류·뒤로가기·같은ID 상세"
"F66","모바일 신규영업·검색·알림·설정","로컬 G/공지/검색/담당 Master","opportunity_create·설정·로그아웃","golden/mobile.html:2085 rProspect; golden/mobile.html:1921 rSearch; golden/mobile.html:2139 rNoti; golden/mobile.html:2154 rSet","v2 신규/알림/설정계약 미완성","CONTRACT_MISSING","보이는버튼과 demo/placeholder 기능 구별필요; 숨겨서완료금지","모든탭·신규저장·중복안내·명함/음성미지원·권한"
"F67","전체 JSON/전환목록/모바일 JSON Export","B/LOCAL/WRITE_Q 또는 mobile state","Blob 다운로드","golden/crm.html:2490 buildFullExport; golden/crm.html:2497 exportFullDataJSON; golden/crm.html:6500 exportPromotions; golden/mobile.html:1211 exportJSON","전체 export admin+MFA audit 서버계약 미완료","CONTRACT_MISSING","보안요건상 기존 무제한다운로드를 그대로 복제할수없음; 기능삭제 대신 범위/권한변경 명시승인 필요","일반계정거절·admin AAL1거절·audit/컬럼범위/횟수; 이번발급금지"
"F68","실적/설정의 저장값·진단/데모 경계","UI state/cache/demo flags","localStorage/session/UI settings","golden/crm.html:2658 runDiag; golden/mobile.html:2154 rSet; golden/index.html:145 paintToggle","정확한 기존key 이관·격리설계 필요","TEST_MISSING","디자인/데모 화면은 실제업무 PASS에서 분리; existingcache/queue 노출금지","?demo/preview/debug와실계정 구분·강제prodURL거절·계정별namespace"
"L01","로컬 공통 crm-read.js v1 직접조회","crm_read_bundle/_crmRead.version1 actorId scope","조회 전용; n8nwrite 유지","local/crm-read.js:19 read; local/crm.html:2886 loadData","기존4 v2와 계약 불일치","CONTRACT_MISSING","Golden에는 파일없음; public v1candidate와 실제v2필드adapter 필요","v1검증기를v2완료로오인금지·두화면 동일소스·failclosed"
"L02","로컬 오늘 홈 Action-first","미배정/지연/Next/관리개입/재접촉 data","기존상세/메시지 Action","local/crm.html:3909 paintTodayHome","today-home scoped projection 없음","CONTRACT_MISSING","Golden 기본dash와 로컬home 차이; 요청UX동결목록에 별도보존","우선순위행→정확한상세·문제해결후카드·role별"
"L03","로컬 영업사원 관리 People Control Tower","본사6명 flow/부하/stage/댓글","rep_manager_comment","local/crm.html:3844 paintRepManagement; local/crm.html:3831 repManagerSaveComment","rep-management v2 없음","CONTRACT_MISSING","Golden에는관리센터미포함; 주차약속/코멘트점수제외 보존","주차저장·진행+신규×2+연체×3+(오늘+미응대)×2·branch제외"
"L04","로컬 고객관리 지원/관리자 개입","고객관계/미응대/보류/지원요청","customer_support_action","local/crm.html:3836 repManagerInterventions; local/crm.html:3866 repSupportRecord","support-action v2 없음","CONTRACT_MISSING","요청과 실제완료의 근거를분리·위임후실행정본 필요","요청만으로완료0·실제통화/Next/입대의일정으로완료"
"L05","로컬 Campaign/고객 실행센터 대상선택","Stage/접촉/사업유형/공종/담당/지역/온도/contact/log","다중선택·개인화 preview","local/crm.html:8010 campaignAllTargets; local/crm.html:8009 campaignGuard; local/crm.html:8011 campaignFilteredTargets","campaign audience scoped contract 없음","CONTRACT_MISSING","Golden엔개별메시징만; 연락처중복정규화/동의/범위필요","같은번호다른Opportunity중복발송0·+82/수신거부/30일빈도"
"L06","로컬 Campaign 예약/발송/결과/분석","campaigns/message logs/template","campaign_create → provider callback crm_campaign_delivery (SQL선언)","local/crm.html:8045 campaignQueue; local/crm.html:8048 campaignHistoryPage; local/crm.html:8050 campaignAnalysisPage","Edge/provider + v2 campaign API 없음","CONTRACT_MISSING","실제provider/n8n구현미확보·browser sent위조금지","queued/scheduled→실제callback후sent·중복receipt·실패·범위"
"L07","로컬 개별 Contextual Composer/견적참조","Deal+선택Contact+quoteVersion+attachments","message_log context/참조","local/crm.html:7958 contextualHeaderHTML","v2 context message contract 없음","CONTRACT_MISSING","개별Drawer/모바일Sheet 유지·대량메뉴로이동금지","현재Deal 유지·견적Version/파일참조·후속Next·실제확인"
"L08","로컬 확장관리 Pool/상태/재접촉","expansion_pool/source ClosedWon/completion","expansion_pool_upsert/update / crm_expansion_note","local/crm.html:4446 expansionRecords; local/crm.html:4449 expansionSave; local/expansion-pool.js:9 render","expansion scoped contract 없음","CONTRACT_MISSING","Golden expansion Stage와상충; 로컬Pool제거금지·준공근거/30일추천보존","과거Deal재오픈0·완료원본유지·상태이력/니즈·원담당"
"L09","로컬 견적실발송→새 Opportunity 원자전환","expansion_quote_dispatches/currentPool/신규견적","expansion_quote_convert (동적 호출) / crm_expansion_finish SQL","local/expansion-flow.js:9 request; local/expansion-pool.js:40 convert","실발송검증+원자convert v2 없음","CONTRACT_MISSING","로컬README도서버분기없다고명시; 일반opportunity_create로대체금지","provider신규견적증거·idempotency expansion:source·child sent/origin·기존Deal불변"
"L10","로컬 데이터정리/중복센터 Preview/Apply","crm_cleanup_state/preview + local candidates","crm_cleanup_apply (동적 RPC transport)","local/data-cleanup-ui.js:13 render; local/data-cleanup.js:10 classify","v2 cleanup 승인/범위계약 미확인","CONTRACT_MISSING","Golden dup와달리Site정본연결/문의활동병합/사람이동; 로컬SQL만","fingerprint stale 거절·모든원본/매출/첨부/견적보존·재시도멱등"
"L11","로컬 아파트스퀘어 운영상태 연결","asq_projects by site/opportunity/asq_project_id","외부동기화 crm_asq_project_sync (SQL); 브라우저read-only","local/crm.html:7885 asqProjectFor; local/crm.html:7890 asqOperationHTML","ASQ scoped reader/서버sync 없음","CONTRACT_MISSING","CRM/ASQ정본경계·연결없으면대기·운영수정API를브라우저에주지않음","잘못된link거절·동일site타사업비노출·읽기전용·https URL"
"L12","로컬 구조화 Stage 전환/UI","stage definitions/form/action plan","기존 transition/close/next Action or structured SQL candidate","local/stage-transition.js:28 validate; local/stage-transition-ui.js:42 open","기존v2에는동일structured contract 없음","CONTRACT_MISSING","필수입력/금액/기간/종료/Next의전체plan 보존·소형stageRPC로대체금지","stage별필수값·모달UX/현재값·원자저장/충돌"
"L13","로컬 담당자 eligibility/상담자 분리","sales_people/users role/team + consultant vs salesowner","inquiry_consultant / inquiry_assign / assign","local/people-eligibility.js:13 eligible; local/owner-choice.js:5 mount; local/crm.html:7812 inqCtlRecordAssignment","UUID permission + eligibility 승인계약 없음","CONTRACT_MISSING","표시이름을UUID권한으로대체하되 담당자분류/선택 UX 유지","상담담당≠영업담당·본사6/지사/관리/비활성·승인만료"
"L14","로컬 공용 Next Picker 8분류","공용분류→기존세부type/추천","기존 next_action 세부유형 저장","local/next-action-picker.js:12 html","새Next 초안4type은동등아님","CONTRACT_MISSING","전화/메시지/이메일자료/방문미팅/견적준비/후속/입찰계약/기타 유지","2차유형·기존사진메모예약불변·추천은클릭후만저장"
"L15","로컬 금액쉼표/단위·파서","data-money 입력값","기존 amount/quote/create payload 숫자","local/money-input.js:5 parse","UI helper 보존 + 모든 금액계약 미연결","TEST_MISSING","원/만원/붙여넣기·빈값·거짓0 금지; Golden과별도localoverlay","모든금액폼/IME/붙여넣기·단위·validation·PC모바일"
"L16","로컬 메시지 호칭/실제직함","site/name/role 실제 표시값","템플릿생성; 기존이력 불변","local/message-salutation.js:13 address","UI helper 보존 + messaging adapter 미연결","TEST_MISSING","직함없으면관계자님·관리소장추정금지·중복님금지","개별/시즌/캠페인·누락현장/직함·기존문구불변"
"L17","로컬 이슈 모달·ACK 강화","현재이슈·서버operation/ID ACK","기존 write ACK validation","local/issue-modal.js:35 open; local/write-ack.js:5 validate","v2 목적별 ACK와기존모달연결 미완성","CONTRACT_MISSING","일반HTTP200/ok true로복합업무완료 오인금지","operation/원본ID/새UUID/상태 exactACK·누락/실패·취소"
